Created as New Dataset,CYN01208-6
cm-1,A
1665.00,0.0027
1664.00,0.0029
1663.00,0.0032
1662.00,0.0036
1661.00,0.0042
1660.00,0.0048
1659.00,0.0055
1658.00,0.0061
1657.00,0.0065
1656.00,0.0071
1655.00,0.0077
1654.00,0.0075
1653.00,0.0068
1652.00,0.0062
1651.00,0.0057
1650.00,0.0053
1649.00,0.0050
1648.00,0.0044
1647.00,0.0035
1646.00,0.0029
1645.00,0.0027
1644.00,0.0026
1643.00,0.0026
1642.00,0.0025
1641.00,0.0023
1640.00,0.0020
1639.00,0.0018
1638.00,0.0016
1637.00,0.0014
1636.00,0.0011
1635.00,0.0010
1634.00,0.0011
1633.00,0.0012
1632.00,0.0012
1631.00,0.0012
1630.00,0.0012
1629.00,0.0012
1628.00,0.0010
1627.00,0.0009
1626.00,0.0009
1625.00,0.0008
1624.00,0.0008
1623.00,0.0007
1622.00,0.0008
1621.00,0.0009
1620.00,0.0011
1619.00,0.0012
1618.00,0.0013
1617.00,0.0012
1616.00,0.0013
1615.00,0.0016
1614.00,0.0018
1613.00,0.0021
1612.00,0.0022
1611.00,0.0022
1610.00,0.0022
1609.00,0.0021
1608.00,0.0021
1607.00,0.0022
1606.00,0.0023
1605.00,0.0025
1604.00,0.0027
1603.00,0.0028
1602.00,0.0028
1601.00,0.0027
1600.00,0.0025
