Created as New Dataset,CYN02065-1, Fe2S2(CO)6
cm-1,A
1716.00,0.0004
1715.00,0.0005
1714.00,0.0005
1713.00,0.0006
1712.00,0.0007
1711.00,0.0007
1710.00,0.0006
1709.00,0.0006
1708.00,0.0005
1707.00,0.0004
1706.00,0.0003
1705.00,0.0003
1704.00,0.0003
1703.00,0.0002
1702.00,0.0002
1701.00,0.0001
1700.00,0.0002
1699.00,0.0002
1698.00,0.0001
1697.00,0.0001
1696.00,0.0002
1695.00,0.0004
1694.00,0.0005
1693.00,0.0005
1692.00,0.0005
1691.00,0.0005
1690.00,0.0005
1689.00,0.0004
1688.00,0.0004
1687.00,0.0003
1686.00,0.0002
1685.00,0.0001
1684.00,0.0002
1683.00,0.0004
1682.00,0.0005
1681.00,0.0004
1680.00,0.0005
1679.00,0.0006
1678.00,0.0007
1677.00,0.0006
1676.00,0.0006
1675.00,0.0006
1674.00,0.0006
1673.00,0.0006
1672.00,0.0005
1671.00,0.0004
1670.00,0.0004
1669.00,0.0006
1668.00,0.0007
1667.00,0.0007
1666.00,0.0007
1665.00,0.0007
1664.00,0.0007
1663.00,0.0006
1662.00,0.0006
1661.00,0.0007
1660.00,0.0007
1659.00,0.0007
1658.00,0.0007
1657.00,0.0007
1656.00,0.0006
1655.00,0.0004
1654.00,0.0003
1653.00,0.0004
1652.00,0.0006
1651.00,0.0006
1650.00,0.0004
1649.00,0.0003
1648.00,0.0003
1647.00,0.0004
1646.00,0.0005
1645.00,0.0007
1644.00,0.0007
1643.00,0.0007
1642.00,0.0008
1641.00,0.0008
1640.00,0.0008
1639.00,0.0008
1638.00,0.0006
1637.00,0.0005
1636.00,0.0005
1635.00,0.0006
1634.00,0.0008
1633.00,0.0008
1632.00,0.0008
1631.00,0.0008
1630.00,0.0008
1629.00,0.0008
1628.00,0.0008
1627.00,0.0008
1626.00,0.0007
1625.00,0.0006
1624.00,0.0006
1623.00,0.0006
1622.00,0.0007
1621.00,0.0007
1620.00,0.0007
1619.00,0.0006
1618.00,0.0006
1617.00,0.0006
1616.00,0.0007
1615.00,0.0008
1614.00,0.0008
1613.00,0.0009
1612.00,0.0009
1611.00,0.0010
1610.00,0.0010
1609.00,0.0010
1608.00,0.0010
1607.00,0.0010
1606.00,0.0010
1605.00,0.0011
1604.00,0.0011
1603.00,0.0011
1602.00,0.0011
1601.00,0.0011
1600.00,0.0011
